tamanho;tempo_malloqueiro;tempo_malloc
1024;0.0190000013;0.0030000000
2048;0.0160000008;0.0050000004
3072;0.0190000013;0.0060000001
4096;0.0220000017;0.0070000002
5120;0.0250000004;0.0090000005
6144;0.0270000007;0.0100000007
7168;0.0320000015;0.0110000009
8192;0.0350000001;0.0120000001
9216;0.0380000025;0.0140000004
10240;0.0410000011;0.0150000006
11264;0.0450000018;0.0150000006
12288;0.0480000004;0.0160000008
13312;0.0510000028;0.0230000019
14336;0.0550000034;0.0190000013
15360;0.0570000038;0.0200000014
16384;0.0610000044;0.0220000017
17408;0.0640000030;0.0230000019
18432;0.0670000017;0.0240000002
19456;0.0710000023;0.0250000004
20480;0.0740000010;0.0260000005
21504;0.0770000070;0.0270000007
22528;0.0810000002;0.0280000009
23552;0.0830000043;0.0300000012
24576;0.0870000049;0.0310000014
25600;0.0910000056;0.0320000015
26624;0.0940000042;0.0340000018
27648;0.0970000029;0.0350000001
28672;0.1000000015;0.0360000022
29696;0.1030000076;0.0370000005
30720;0.1070000082;0.0390000008
31744;0.1100000069;0.0390000008
32768;0.1120000035;0.0410000011
33792;0.1130000055;0.1150000021
34816;0.1160000041;0.1160000041
35840;0.1180000082;0.1260000020
36864;0.1210000068;0.1220000088
37888;0.1250000000;0.1250000000
38912;0.1280000061;0.1280000061
39936;0.1300000101;0.1310000122
40960;0.1340000033;0.1350000054
41984;0.1370000094;0.1370000094
43008;0.1400000006;0.1400000006
44032;0.1430000067;0.1440000087
45056;0.1469999999;0.1480000019
46080;0.1500000060;0.1500000060
47104;0.1530000120;0.1530000120
48128;0.1560000032;0.1560000032
49152;0.1590000093;0.1590000093
50176;0.1680000126;0.1630000025
51200;0.1650000066;0.1670000106
52224;0.1690000147;0.1690000147
53248;0.1720000058;0.1720000058
54272;0.2340000123;0.2240000069
55296;0.1930000037;0.1800000072
56320;0.1810000092;0.1820000112
57344;0.1830000132;0.1840000153
58368;0.1880000085;0.1880000085
59392;0.1900000125;0.1910000145
60416;0.1930000037;0.2590000033
61440;0.2540000081;0.2550000250
62464;0.2569999993;0.2590000033
63488;0.2620000243;0.2620000243
64512;0.2650000155;0.2680000067
65536;0.2690000236;0.2710000277
66560;0.2740000188;0.2740000188
67584;0.2770000100;0.3020000160
68608;0.1260000020;0.1270000041
69632;0.1280000061;0.1280000061
70656;0.1290000081;0.1300000101
71680;0.1319999993;0.1319999993
72704;0.1330000013;0.1330000013
73728;0.1350000054;0.1360000074
74752;0.1360000074;0.1610000134
75776;0.1460000128;0.1630000025
76800;0.1710000038;0.1450000107
77824;0.1840000153;0.1580000073
78848;0.1480000019;0.1800000072
79872;0.1500000060;0.1510000080
80896;0.1510000080;0.1510000080
81920;0.1810000092;0.1540000141
82944;0.1560000032;0.1560000032
83968;0.1570000052;0.1570000052
84992;0.1590000093;0.1590000093
86016;0.1760000139;0.1610000134
87040;0.1620000005;0.1620000005
88064;0.1630000025;0.1650000066
89088;0.1620000005;0.1620000005
90112;0.1630000025;0.1640000045
91136;0.1650000066;0.1660000086
92160;0.1670000106;0.1670000106
93184;0.1690000147;0.2200000137
94208;0.1710000038;0.1800000072
95232;0.1770000011;0.2280000150
96256;0.2820000052;0.2830000222
97280;0.2390000075;0.1930000037
98304;0.1780000031;0.1780000031
99328;0.1790000051;0.1800000072
100352;0.1810000092;0.1810000092
101376;0.1830000132;0.1840000153
102400;0.1840000153;0.1850000024
103424;0.1860000044;0.2300000042
104448;0.1890000105;0.1890000105
105472;0.1900000125;0.1900000125
106496;0.1920000017;0.1930000037
107520;0.1930000037;0.1940000057
108544;0.1950000077;0.2300000042
109568;0.1970000118;0.1970000118
110592;0.1990000159;0.1990000159
111616;0.2010000050;0.2010000050
112640;0.2020000070;0.2030000091
113664;0.2030000091;0.2530000210
114688;0.2330000103;0.2060000151
115712;0.2080000043;0.2080000043
116736;0.2100000083;0.2100000083
117760;0.2190000117;0.2290000170
118784;0.2400000095;0.2700000107
119808;0.2670000196;0.2530000210
120832;0.2290000170;0.2290000170
121856;0.2310000062;0.2320000082
122880;0.2590000033;0.2330000103
123904;0.2340000123;0.2350000143
124928;0.2360000163;0.2360000163
125952;0.2390000075;0.2390000075
126976;0.2400000095;0.2460000068
128000;0.2350000143;0.2360000163
129024;0.2370000184;0.2380000055
130048;0.2380000055;0.2400000095
131072;0.2680000067;0.2480000108
132096;0.2360000163;0.2370000184
133120;0.2380000055;0.2380000055
134144;0.2400000095;0.2400000095
135168;0.2420000136;0.2420000136
136192;0.2430000156;0.2440000176
137216;0.2450000048;0.2450000048
138240;0.2470000088;0.2470000088
139264;0.2920000255;0.2490000129
140288;0.2510000169;0.2510000169
141312;0.2530000210;0.2520000041
142336;0.2540000081;0.2550000250
143360;0.2560000122;0.2560000122
144384;0.2830000222;0.2670000196
145408;0.2590000033;0.2600000203
146432;0.2610000074;0.3050000072
147456;0.2800000012;0.2639999986
148480;0.2650000155;0.2660000026
149504;0.2670000196;0.2670000196
150528;0.2680000067;0.2680000067
151552;0.2770000100;0.2990000248
152576;0.2720000148;0.2730000019
153600;0.2730000019;0.2740000188
154624;0.3030000031;0.2760000229
155648;0.2770000100;0.2770000100
156672;0.2780000269;0.2790000141
157696;0.2810000181;0.2810000181
158720;0.2820000052;0.2830000222
159744;0.3150000274;0.2840000093
160768;0.2870000005;0.3260000050
161792;0.2870000005;0.2880000174
162816;0.2890000045;0.2900000215
163840;0.2910000086;0.2920000255
164864;0.2920000255;0.2939999998
165888;0.3100000024;0.2950000167
166912;0.2960000038;0.2970000207
167936;0.2980000079;0.3250000179
168960;0.3000000119;0.3010000288
169984;0.3020000160;0.3390000165
