tamanho;tempo_malloqueiro;tempo_malloc
1024;0.0110000009;0.0020000001
2048;0.0170000009;0.0030000000
3072;0.0110000009;0.0040000002
4096;0.0130000003;0.0040000002
5120;0.0150000006;0.0050000004
6144;0.0160000008;0.0050000004
7168;0.0190000013;0.0060000001
8192;0.0280000009;0.0070000002
9216;0.0230000019;0.0080000004
10240;0.0250000004;0.0080000004
11264;0.0270000007;0.0090000005
12288;0.0290000010;0.0100000007
13312;0.0310000014;0.0140000004
14336;0.0320000015;0.0120000001
15360;0.0340000018;0.0120000001
16384;0.0370000005;0.0130000003
17408;0.0390000008;0.0130000003
18432;0.0410000011;0.0140000004
19456;0.0430000015;0.0150000006
20480;0.0450000018;0.0160000008
21504;0.0470000021;0.0160000008
22528;0.0480000004;0.0170000009
23552;0.0500000007;0.0180000011
24576;0.0520000011;0.0190000013
25600;0.0540000014;0.0190000013
26624;0.0550000034;0.0200000014
27648;0.0580000021;0.0200000014
28672;0.0590000041;0.0220000017
29696;0.0620000027;0.0220000017
30720;0.0630000010;0.0230000019
31744;0.0650000051;0.0240000002
32768;0.0670000017;0.0240000002
33792;0.0680000037;0.0680000037
34816;0.0690000057;0.0690000057
35840;0.0710000023;0.0700000003
36864;0.0720000044;0.0710000023
37888;0.0740000010;0.0730000064
38912;0.0760000050;0.0760000050
39936;0.0770000070;0.0770000070
40960;0.0800000057;0.0790000036
41984;0.0820000023;0.0810000002
43008;0.0840000063;0.0830000043
44032;0.0910000056;0.0850000009
45056;0.0920000076;0.0840000063
46080;0.0870000049;0.0860000029
47104;0.0880000070;0.0880000070
48128;0.0900000036;0.0900000036
49152;0.0920000076;0.0910000056
50176;0.0940000042;0.0930000022
51200;0.0960000008;0.0950000063
52224;0.0970000029;0.0970000029
53248;0.0990000069;0.0980000049
54272;0.1010000035;0.1010000035
55296;0.1030000076;0.1020000055
56320;0.1050000042;0.1040000021
57344;0.1060000062;0.1050000042
58368;0.1080000028;0.1070000082
59392;0.1100000069;0.1100000069
60416;0.1110000089;0.1120000035
61440;0.1120000035;0.1130000055
62464;0.1150000021;0.1150000021
63488;0.1530000120;0.1170000061
64512;0.1190000027;0.1180000082
65536;0.1200000048;0.1200000048
66560;0.1230000034;0.1220000088
67584;0.1240000054;0.1240000054
68608;0.2150000036;0.1260000020
69632;0.1319999993;0.1310000122
70656;0.1330000013;0.1330000013
71680;0.1500000060;0.1620000005
72704;0.1600000113;0.1600000113
73728;0.1430000067;0.1420000046
74752;0.1430000067;0.1440000087
75776;0.1460000128;0.1460000128
76800;0.1480000019;0.1469999999
77824;0.1630000025;0.1490000039
78848;0.1510000080;0.1510000080
79872;0.1530000120;0.1530000120
80896;0.1550000012;0.1550000012
81920;0.1580000073;0.1570000052
82944;0.1590000093;0.1580000073
83968;0.1610000134;0.1610000134
84992;0.1540000141;0.1530000120
86016;0.1570000052;0.1560000032
87040;0.1580000073;0.1570000052
88064;0.1600000113;0.1590000093
89088;0.1700000018;0.1770000011
90112;0.4340000153;0.1860000044
91136;0.2190000117;0.1690000147
92160;0.1800000072;0.1970000118
93184;0.1730000079;0.1720000058
94208;0.1750000119;0.2290000170
95232;0.1770000011;0.1760000139
96256;0.1790000051;0.1780000031
97280;0.1800000072;0.1800000072
98304;0.1820000112;0.1810000092
99328;0.1840000153;0.1830000132
100352;0.2070000172;0.1910000145
101376;0.1830000132;0.1820000112
102400;0.1850000024;0.1840000153
103424;0.1860000044;0.1860000044
104448;0.1880000085;0.1870000064
105472;0.1900000125;0.1890000105
106496;0.1920000017;0.1910000145
107520;0.2780000269;0.1930000037
108544;0.1950000077;0.1950000077
109568;0.1970000118;0.1970000118
110592;0.2030000091;0.1980000138
111616;0.2010000050;0.3560000062
112640;0.2500000000;0.2110000104
113664;0.2100000083;0.2250000089
114688;0.2120000124;0.2110000104
115712;0.2140000165;0.2130000144
116736;0.2310000062;0.2350000143
117760;0.2110000104;0.2100000083
118784;0.2130000144;0.2120000124
119808;0.2350000143;0.2130000144
120832;0.2170000076;0.2310000062
121856;0.2190000117;0.2170000076
122880;0.2200000137;0.2190000117
123904;0.2220000178;0.2210000157
124928;0.2240000069;0.2220000178
125952;0.2260000110;0.2250000089
126976;0.2270000130;0.2260000110
128000;0.2290000170;0.2600000203
129024;0.4450000226;0.3110000193
130048;0.2620000243;0.2440000176
131072;0.2470000088;0.2460000068
132096;0.2490000129;0.2480000108
133120;0.3060000241;0.2500000000
134144;0.2520000041;0.2510000169
135168;0.2550000250;0.3470000029
136192;0.2620000243;0.2490000129
137216;0.2520000041;0.2500000000
138240;0.2540000081;0.2520000041
139264;0.2569999993;0.2540000081
140288;0.2620000243;0.4410000145
141312;0.2520000041;0.2520000041
142336;0.2710000277;0.2520000041
143360;0.2620000243;0.2540000081
144384;0.2580000162;0.2560000122
145408;0.2590000033;0.2569999993
146432;0.2620000243;0.2600000203
147456;0.2620000243;0.2610000074
148480;0.2639999986;0.2630000114
149504;0.2660000026;0.2639999986
150528;0.2680000067;0.2860000134
151552;0.2690000236;0.2680000067
152576;0.2710000277;0.2700000107
153600;0.2730000019;0.2720000148
154624;0.2750000060;0.2730000019
155648;0.2780000269;0.2750000060
156672;0.2800000012;0.2770000100
157696;0.2820000052;0.2830000222
158720;0.2840000093;0.2810000181
159744;0.2850000262;0.2820000052
160768;0.3830000162;0.2840000093
161792;0.2890000045;0.2860000134
162816;0.2910000086;0.2870000005
163840;0.3610000312;0.2900000215
164864;0.3040000200;0.2910000086
165888;0.2960000038;0.2920000255
166912;0.2970000207;0.2939999998
167936;0.2990000248;0.2960000038
168960;0.3010000288;0.2990000248
169984;0.3020000160;0.2990000248
171008;0.3050000072;0.3010000288
172032;0.3270000219;0.3040000200
173056;0.3090000153;0.3050000072
174080;0.3100000024;0.3070000112
175104;0.3120000064;0.3090000153
176128;0.3130000234;0.3100000024
177152;0.3160000145;0.3120000064
178176;0.3250000179;0.3140000105
179200;0.3190000057;0.3160000145
180224;0.3200000226;0.3170000017
181248;0.3220000267;0.3190000057
182272;0.4070000052;0.3220000267
183296;0.3260000050;0.3230000138
184320;0.3310000300;0.3250000179
185344;0.3290000260;0.3270000219
186368;0.3310000300;0.3280000091
187392;0.3330000043;0.3290000260
188416;0.3340000212;0.3320000172
189440;0.3370000124;0.3340000212
190464;0.4320000112;0.3350000083
191488;0.3410000205;0.3370000124
192512;0.3410000205;0.3380000293
193536;0.3440000117;0.3400000036
194560;0.3450000286;0.3420000076
195584;0.3460000157;0.3440000117
196608;0.3520000279;0.3460000157
197632;0.3510000110;0.3470000029
198656;0.3530000150;0.3500000238
199680;0.3540000021;0.3510000110
200704;0.3550000191;0.3530000150
201728;0.3580000103;0.4490000308
202752;0.3600000143;0.3560000062
203776;0.3620000184;0.3580000103
204800;0.3630000055;0.3600000143
205824;0.3660000265;0.3610000312
