tamanho;tempo_malloqueiro;tempo_malloc
1024;0.0260000005;0.0060000001
2048;0.0220000017;0.0070000002
3072;0.0250000004;0.0090000005
4096;0.0290000010;0.0100000007
5120;0.0340000018;0.0120000001
6144;0.0380000025;0.0140000004
7168;0.0450000018;0.0150000006
8192;0.0480000004;0.0160000008
9216;0.0520000011;0.0180000011
10240;0.0580000021;0.0200000014
11264;0.0610000044;0.0210000016
12288;0.0650000051;0.0230000019
13312;0.0710000023;0.0320000015
14336;0.0740000010;0.0260000005
15360;0.0800000057;0.0280000009
16384;0.0850000009;0.0300000012
17408;0.0880000070;0.0310000014
18432;0.0930000022;0.0320000015
19456;0.0970000029;0.0350000001
20480;0.1010000035;0.0370000005
21504;0.1090000048;0.0380000025
22528;0.1110000089;0.0400000028
23552;0.1270000041;0.0420000032
24576;0.1200000048;0.0430000015
25600;0.1240000054;0.0440000035
26624;0.1280000061;0.0460000038
27648;0.1319999993;0.0470000021
28672;0.1360000074;0.0490000024
29696;0.1410000026;0.0510000028
30720;0.1460000128;0.0530000031
31744;0.1500000060;0.0540000014
32768;0.1540000141;0.0560000017
33792;0.1550000012;0.1550000012
34816;0.1580000073;0.1580000073
35840;0.1630000025;0.1610000134
36864;0.1660000086;0.1650000066
37888;0.1700000018;0.1690000147
38912;0.1740000099;0.2110000104
39936;0.0910000056;0.0890000015
40960;0.0920000076;0.0910000056
41984;0.0940000042;0.0930000022
43008;0.0960000008;0.0950000063
44032;0.0980000049;0.0970000029
45056;0.1010000035;0.1000000015
46080;0.1020000055;0.1020000055
47104;0.1050000042;0.1040000021
48128;0.1070000082;0.1070000082
49152;0.1100000069;0.1080000028
50176;0.1110000089;0.1110000089
51200;0.1130000055;0.1130000055
52224;0.1160000041;0.1150000021
53248;0.1170000061;0.1160000041
54272;0.1200000048;0.1190000027
55296;0.1220000088;0.1210000068
56320;0.1240000054;0.1230000034
57344;0.1250000000;0.1300000101
58368;0.1280000061;0.1270000041
59392;0.1300000101;0.1290000081
60416;0.1319999993;0.1310000122
61440;0.1350000054;0.1340000033
62464;0.1360000074;0.1350000054
63488;0.1390000135;0.1380000114
64512;0.1400000006;0.1400000006
65536;0.1430000067;0.1420000046
66560;0.1460000128;0.1440000087
67584;0.1469999999;0.1460000128
68608;0.1490000039;0.1480000019
69632;0.1520000100;0.1510000080
70656;0.1530000120;0.1520000100
