tamanho;tempo_malloqueiro;tempo_malloc
1024;0.0110000009;0.0030000000
2048;0.0110000009;0.0030000000
3072;0.0120000001;0.0040000002
4096;0.0140000004;0.0040000002
5120;0.0150000006;0.0050000004
6144;0.0170000009;0.0060000001
7168;0.0200000014;0.0060000001
8192;0.0220000017;0.0070000002
9216;0.0240000002;0.0080000004
10240;0.0260000005;0.0090000005
11264;0.0270000007;0.0100000007
12288;0.0300000012;0.0100000007
13312;0.0320000015;0.0140000004
14336;0.0340000018;0.0110000009
15360;0.0360000022;0.0180000011
16384;0.0380000025;0.0140000004
17408;0.0400000028;0.0140000004
18432;0.0420000032;0.0150000006
19456;0.0430000015;0.0150000006
20480;0.0510000028;0.0150000006
21504;0.0440000035;0.0170000009
22528;0.0470000021;0.0170000009
23552;0.0490000024;0.0170000009
24576;0.0510000028;0.0180000011
25600;0.0520000011;0.0190000013
26624;0.0550000034;0.0190000013
27648;0.0560000017;0.0200000014
28672;0.0580000021;0.0210000016
29696;0.0600000024;0.0220000017
30720;0.0620000027;0.0230000019
31744;0.0640000030;0.0230000019
32768;0.0650000051;0.0230000019
33792;0.0650000051;0.0650000051
34816;0.0670000017;0.0670000017
35840;0.0690000057;0.0680000037
36864;0.0910000056;0.1040000021
37888;0.0810000002;0.0720000044
38912;0.0740000010;0.0740000010
39936;0.0760000050;0.0760000050
40960;0.0770000070;0.0770000070
41984;0.0790000036;0.0800000057
43008;0.0810000002;0.0810000002
44032;0.0820000023;0.0830000043
45056;0.0850000009;0.0850000009
46080;0.0860000029;0.0870000049
47104;0.0890000015;0.0880000070
48128;0.0900000036;0.0900000036
49152;0.0920000076;0.1550000012
50176;0.1150000021;0.1150000021
51200;0.1160000041;0.1180000082
52224;0.1200000048;0.1200000048
53248;0.1220000088;0.1210000068
54272;0.1230000034;0.1230000034
55296;0.1260000020;0.1260000020
56320;0.1280000061;0.1280000061
57344;0.1300000101;0.1310000122
58368;0.1319999993;0.1319999993
59392;0.1340000033;0.1350000054
60416;0.1370000094;0.1360000074
61440;0.1390000135;0.1400000006
62464;0.1410000026;0.1420000046
63488;0.1440000087;0.1430000067
64512;0.1510000080;0.1469999999
65536;0.1480000019;0.1480000019
66560;0.1490000039;0.1500000060
67584;0.1510000080;0.1520000100
68608;0.1540000141;0.1550000012
69632;0.1560000032;0.1560000032
70656;0.1580000073;0.1580000073
71680;0.1600000113;0.1610000134
72704;0.1630000025;0.1630000025
73728;0.1650000066;0.1650000066
74752;0.1680000126;0.1680000126
75776;0.1700000018;0.1700000018
76800;0.1710000038;0.1840000153
77824;0.1490000039;0.1530000120
78848;0.1440000087;0.1440000087
79872;0.1460000128;0.1460000128
80896;0.1469999999;0.1469999999
81920;0.1480000019;0.1500000060
82944;0.1500000060;0.1500000060
83968;0.1520000100;0.1520000100
84992;0.1540000141;0.1540000141
86016;0.1560000032;0.1570000052
87040;0.1570000052;0.2060000151
88064;0.1600000113;0.1600000113
89088;0.1610000134;0.1770000011
90112;0.2000000030;0.1690000147
