tamanho;tempo_malloqueiro;tempo_malloc
1024;0.0260000005;0.0060000001
2048;0.0220000017;0.0070000002
3072;0.0260000005;0.0090000005
4096;0.0290000010;0.0100000007
5120;0.0329999998;0.0120000001
6144;0.0600000024;0.0140000004
7168;0.0440000035;0.0150000006
8192;0.0490000024;0.0170000009
9216;0.0530000031;0.0180000011
10240;0.0570000038;0.0200000014
11264;0.0610000044;0.0210000016
12288;0.0659999996;0.0240000002
13312;0.0700000003;0.0329999998
14336;0.0780000016;0.0270000007
15360;0.0820000023;0.0280000009
16384;0.0870000049;0.1240000054
17408;0.0930000022;0.0430000015
18432;0.0980000049;0.0340000018
19456;0.1000000015;0.0350000001
20480;0.1080000028;0.0370000005
21504;0.1100000069;0.0380000025
22528;0.1140000075;0.0400000028
23552;0.1170000061;0.0420000032
24576;0.1220000088;0.0430000015
25600;0.1260000020;0.0450000018
26624;0.1319999993;0.0470000021
27648;0.1360000074;0.0480000004
28672;0.1400000006;0.0500000007
29696;0.1440000087;0.0510000028
30720;0.1500000060;0.0540000014
31744;0.1540000141;0.0550000034
32768;0.1590000093;0.0570000038
33792;0.1570000052;0.1570000052
34816;0.1610000134;0.1580000073
35840;0.1640000045;0.1610000134
36864;0.2190000117;0.1670000106
37888;0.1740000099;0.1710000038
38912;0.1770000011;0.1750000119
39936;0.1820000112;0.1790000051
40960;0.1870000064;0.1840000153
41984;0.1910000145;0.1880000085
43008;0.1950000077;0.1920000017
44032;0.2000000030;0.1970000118
45056;0.2040000111;0.2010000050
46080;0.2090000063;0.2050000131
47104;0.2460000068;0.2030000091
48128;0.1900000125;0.1730000079
49152;0.2180000097;0.2060000151
50176;0.2140000165;0.2100000083
51200;0.2170000076;0.2140000165
52224;0.2200000137;0.2170000076
53248;0.2240000069;0.2210000157
54272;0.2270000130;0.2250000089
55296;0.2320000082;0.2430000156
56320;0.2370000184;0.2330000103
57344;0.2400000095;0.2370000184
58368;0.2440000176;0.2400000095
59392;0.2700000107;0.2500000000
60416;0.2530000210;0.2480000108
61440;0.2560000122;0.2530000210
62464;0.2610000074;0.2560000122
63488;0.2639999986;0.2430000156
64512;0.1480000019;0.1650000066
65536;0.1590000093;0.1480000019
66560;0.1520000100;0.1490000039
67584;0.1540000141;0.1520000100
68608;0.1560000032;0.1540000141
69632;0.1590000093;0.1560000032
70656;0.1610000134;0.1580000073
